Year,employment_by_thosands,percent_change,employment percent change since 2000,employment percent change since 2010
2000,2182.15,,0.0,-1.3336598875272025
2001,2175.204166666667,-0.3183022859717832,-0.3183022859717807,-1.6477171035898952
2002,2161.7583333333337,-0.6181412089669713,-0.9344759373400738,-2.255673094132378
2003,2155.3708333333334,-0.29547706149701813,-1.227191836797044,-2.544485159053876
2004,2189.6416666666664,1.590020278799642,0.3433158429377602,-0.994922710274229
2005,2231.597222222222,1.916092308355899,2.265986399753549,0.9021059605560121
2006,2278.7569444444443,2.1132721331881044,4.4271449920694845,3.0344420476203817
2007,2313.3583333333336,1.5184326249996438,6.012800830984739,4.598950630657791
2008,2310.0791666666664,-0.1417491885894795,5.862528546005835,4.450682466865722
2009,2217.1833333333334,-4.021326830429683,1.6054502822140229,0.25037914825873986
2010,2211.6458333333335,-0.249753816779541,1.351686792078152,0.0
2011,2239.204166666666,1.2460554451341421,2.614585004086148,1.246055445134147
2012,2270.6277777777777,1.4033383636423702,4.054614842140899,2.6668801828703397
2013,2298.365277777778,1.221578467041673,5.325723611015642,3.921036683967758
2014,2328.2986111111118,1.302374936775741,6.697459437303195,5.274478219777275
2015,2375.4416666666666,2.024785623741665,8.857854256887315,7.406060720240385
2016,2415.75,1.6968774227950512,10.705038608711586,9.228609915315698
2017,2447.779166666667,1.325847735347918,12.17281885602122,10.676814966229916
2018,2487.459722222222,1.621083964432568,13.991234434948183,12.470979065992184
2019,2518.7055555555553,1.2561342422630073,15.42311736386386,13.88376554664856
2020,2388.965277777778,-5.151069663208818,9.477592181003953,8.017533448255284
