Year,employment_by_thosands,percent_change
2000,3374.7383333333332,
2001,3372.9499999999994,-0.05299176281816642
2002,3348.611666666667,-0.7215740919175317
2003,3355.396666666667,0.20262128533865553
2004,3431.6983333333337,2.273998404560218
2005,3529.4300000000003,2.847909611324617
2006,3604.5016666666666,2.1270195659544466
2007,3628.8583333333336,0.6757290998617105
2008,3554.9833333333336,-2.035764232552484
2009,3351.1866666666665,-5.7327038570269995
2010,3326.98,-0.7223311941242594
2011,3360.7333333333336,1.0145337012345657
2012,3415.866666666667,1.6405149669714847
2013,3483.271666666667,1.9732913072329161
2014,3572.036666666667,2.5483226258072422
2015,3674.4083333333333,2.865918696243308
2016,3774.725,2.730144762535458
2017,3843.515,1.82238441210949
2018,3918.908333333333,1.9615725015599716
2019,3990.9533333333334,1.8383946209510116
2020,3810.5316666666663,-4.520766132736886
