Year,employment_by_thosands,percent_change,employment percent change since 2000,employment percent change since 2010
2000,3957.983333333333,,0.0,0.7890250356612409
2001,3981.3849999999998,0.5912522791488906,0.5912522791488926,1.384942443316536
2002,3946.3399999999997,-0.8802213300145523,-0.29417337954093026,0.492530554507482
2003,3944.41,-0.04890607499606903,-0.34293558588338174,0.44338360214904776
2004,3996.4083333333333,1.3182791173669495,0.970822683268841,1.7675077529529515
2005,4085.443333333333,2.2278754464946537,3.2203268499530493,4.034761070690541
2006,4172.128333333333,2.1218015507088905,5.410457345702146,6.24217224436475
2007,4221.85,1.1917578438183307,6.666694739324335,7.508321665529954
2008,4191.891666666666,-0.7096020307053474,5.909785707367809,6.745440431814112
2009,3966.0983333333334,-5.3864305494536024,0.2050286551653048,0.9956714182460796
2010,3926.9983333333334,-0.9858555364445021,-0.7828481676274451,0.0
2011,3971.431666666667,1.1314833764041188,0.3397774118974829,1.1314833764041168
2012,4053.6616666666664,2.0705379546166913,2.4173505867887255,3.2254491237794336
2013,4154.263333333333,2.4817479834075895,4.959091119635847,5.787244625772268
2014,4265.150000000001,2.669225751216242,7.760686208043678,8.610945000825494
2015,4392.005,2.974221305229574,10.965727495904911,11.84127486685123
2016,4509.011666666666,2.6640831844833013,13.921946782662886,14.820819463890771
2017,4603.7666666666655,2.101458301837744,16.315968990942334,17.233731106752835
2018,4696.6449999999995,2.017442239325784,18.662576480446685,19.598853916838078
2019,4768.461666666667,1.5291057055976776,20.47705270781839,21.427646815909867
2020,4432.243333333333,-7.0508762958844,11.98236475646267,12.865933649916652
