Year,employment_by_thosands,percent_change,employment percent change since 2000,employment percent change since 2010
2000,4910.766666666667,,0.0,1.0448126310302597
2001,4893.455555555555,-0.3525134115741291,-0.3525134115741338,0.6886161148059236
2002,4835.683333333333,-1.1806017560869186,-1.5289533881335688,-0.500115455225094
2003,4809.038888888889,-0.5509964695326275,-2.0715253784767773,-1.0483563062558403
2004,4840.230555555557,0.6486049996130117,-1.4363563960368153,-0.4065509980589592
2005,4885.941666666667,0.9443994575556669,-0.5055218804938955,0.5340089940763422
2006,4933.105555555557,0.9652978301123882,0.4548961578753367,1.5044616014211492
2007,4985.727777777778,1.0667159181898977,1.5264645257925258,2.587225850996462
2008,5005.097222222222,0.38849783437386876,1.9208926417915946,2.985775001771824
2009,4857.347222222223,-2.9519906095729964,-1.0878025381870726,-0.054355405476459284
2010,4859.988888888889,0.054384966645604216,-1.034009172589038,0.0
2011,4931.336111111111,1.4680531962807386,0.4188642189836637,1.468053196280731
2012,4988.508333333332,1.1593657567449789,1.5830861440507924,2.6444390590741844
2013,5042.230555555556,1.0769195645770502,2.677054273037241,3.749837105251729
2014,5116.35,1.4699733308065177,4.186379587708633,5.274932041454146
2015,5190.76111111111,1.4543788269197666,5.70164423296653,6.806028363119232
2016,5256.525000000001,1.2669411572056255,7.040821867597045,8.1591978948283
2017,5320.13888888889,1.2101890296134732,8.336218151046793,9.468128642269425
2018,5385.958333333333,1.2371753034851718,9.676527086741357,10.822441295018955
2019,5440.691666666667,1.016222739685757,10.791084895094436,11.94864414413384
2020,4952.447222222222,-8.973940711173878,0.8487586233423445,1.9024391916762435
