Year,employment_by_thosands,percent_change,employment percent change since 2000,employment percent change since 2010
2000,1576.701190476191,,0.0,3.531678717998854
2001,1579.9476190476191,0.2059000520223897,0.20590005202239312,3.7448504983388706
2002,1562.5773809523814,-1.0994186064034461,-0.8957822578635782,2.6042603087746983
2003,1550.5916666666665,-0.7670477271602194,-1.655958907574552,1.8172366621066853
2004,1557.4761904761901,0.44399334509022115,-1.2193179098313827,2.269298417041208
2005,1569.7749999999999,0.7896627633228404,-0.4392836460089985,3.076880984952106
2006,1584.482142857143,0.9368949599237508,0.4934956875755227,4.042603087746723
2007,1593.7119047619046,0.5825096828241172,1.0788800305640758,4.648661324995101
2008,1590.1392857142855,-0.2241696907041013,0.8522918178323954,4.414070744576882
2009,1531.5202380952385,-3.68640962119966,-2.8655367709405386,0.5649403947625766
2010,1522.9166666666667,-0.5617667474817067,-3.4112058857062424,0.0
2011,1531.8190476190473,0.5845612663669897,-2.846585207663126,0.5845612663669857
2012,1549.894047619048,1.17996965947742,-1.7002043899673036,1.771428571428593
2013,1568.5095238095237,1.2010805654149692,-0.5195446490525744,2.993785421145188
2014,1587.159523809524,1.1890268893429479,0.6633047147109994,4.218409224154785
2015,1608.6011904761906,1.3509459096589183,2.023211512281873,5.6263435606800885
2016,1631.3964285714285,1.4170844974005004,3.4689666263725356,7.123158100449471
2017,1649.3880952380953,1.1028384242830258,4.610062147536758,8.30455344928669
2018,1662.9714285714288,0.8235377333296823,5.471565482181357,9.196482313855782
2019,1677.9261904761904,0.8992795455065927,6.420049696888206,10.178463943717011
2020,1545.3023809523809,-7.904031194969985,-1.991424228856395,1.4699237834668648
