Year,employment_by_thosands,percent_change,employment percent change since 2000,employment percent change since 2010
2000,3510.897916666667,,0.0,-6.273998353762968
2001,3533.9562499999997,0.6567645622469476,0.6567645622469448,-5.658439189339496
2002,3497.7625000000003,-1.0241708566708918,-0.3741326856674205,-6.624657960890726
2003,3481.31875,-0.47012197083136087,-0.8424957765433998,-7.063635959155512
2004,3522.9083333333333,1.1946502552612648,0.3420896007728274,-5.953371448911022
2005,3592.3333333333335,1.970672905199078,2.3195039730458324,-4.100020021801497
2006,3679.7250000000004,2.432727104017829,4.80865827889471,-1.7670352161241984
2007,3786.8208333333337,2.9104303537175635,7.859041282767769,1.091966808302399
2008,3851.3395833333325,1.7037708632020587,9.696712201472648,2.814342283820154
2009,3744.704166666667,-2.768787699950692,6.659443126787962,-0.032368579119463815
2010,3745.916666666666,0.03237905976103406,6.6939784516187775,0.0
2011,3815.3229166666665,1.8528508820716105,8.67085877247688,1.8528508820716014
2012,3909.6437499999997,2.4721585929543988,11.357374745658003,4.370814887321759
2013,4003.579166666667,2.402659236322169,14.032912995310436,6.878489911236703
2014,4107.5125,2.5960104448207177,16.99321932720202,9.653066672599065
2015,4186.4875,1.922696522530365,19.242643886802462,11.761362372361038
2016,4219.820833333333,0.7962124175298069,20.192068624420028,12.651220217570259
2017,4280.15,1.4296618043617482,21.910408721415624,14.261751685168303
2018,4367.827083333334,2.048458192664593,24.407692476580365,16.602355898645214
2019,4448.735416666666,1.852370338607523,26.712183670962602,18.762263353429304
2020,4247.839583333333,-4.515796389704374,20.990119455433703,13.399201352583944
