Year,employment_by_thosands,percent_change,employment percent change since 2000,employment percent change since 2010
2000,2764.1958333333337,,0.0,4.754069756884392
2001,2749.366666666667,-0.5364730851498467,-0.5364730851498477,4.192092367039611
2002,2708.96875,-1.469353548089869,-1.997943946928519,2.6611421610154427
2003,2681.23125,-1.023913620266026,-3.0014003469966584,1.6099807437081428
2004,2691.6416666666664,0.38827000344212603,-2.624783880785119,2.0045018194392914
2005,2718.9812500000003,1.015721508249312,-1.635722866957993,3.0405834838019072
2006,2754.4479166666665,1.3044101229703786,-0.35264927864796664,4.384655285532352
2007,2782.0166666666664,1.000881150563293,0.6447022717577386,5.4294216243657125
2008,2777.714583333333,-0.1546390208541859,0.48906628962308585,5.266386599073566
2009,2662.3770833333333,-4.152244463561539,-3.6834854018724683,0.8954688895222538
2010,2638.7479166666667,-0.8875214113953644,-4.538315091640587,0.0
2011,2662.6354166666665,0.9052588861983901,-3.674139706092958,0.9052588861983873
2012,2693.80625,1.1706759828334246,-2.546475994374503,2.0865325173950104
2013,2719.9625,0.9709774041841257,-1.600224296698717,3.0777696808540056
2014,2753.8541666666665,1.246034335644941,-0.3741293052379785,4.362154083494453
2015,2796.0166666666664,1.5310360479630747,1.151178688195913,5.959976282943526
2016,2821.525,0.9123097740237673,2.073990777908575,6.92665950312609
2017,2839.6708333333336,0.6431214798144014,2.7304505379050834,7.614327818038709
2018,2858.795833333333,0.6734935533901254,3.4223334996465016,8.339103378417311
2019,2872.6937500000004,0.4861458277159336,3.925116858881502,8.865789409276351
2020,2705.2687499999997,-5.828153453531226,-2.1317984284157605,2.520924144105581
