Year,employment_by_thosands,percent_change
2000,1356.8083333333334,
2001,1352.3513888888888,-0.32848740201167903
2002,1340.1055555555554,-0.9055215555621832
2003,1337.7972222222222,-0.1722501129678755
2004,1352.5500000000002,1.1027663634457285
2005,1372.6888888888889,1.4889570728541468
2006,1391.7749999999999,1.3904178336112238
2007,1403.3513888888892,0.8317715786595903
2008,1403.3347222222221,-0.0011876331757698644
2009,1351.2333333333333,-3.7126843698689904
2010,1344.0319444444447,-0.5329493220185499
2011,1360.9347222222223,1.2576172648012696
2012,1380.6666666666667,1.4498817703926914
2013,1399.2861111111113,1.348583615000809
2014,1419.0777777777776,1.4144117139096357
2015,1438.784722222222,1.38871489308392
2016,1455.2347222222222,1.143326012983592
2017,1467.4208333333333,0.8373983196677814
2018,1480.4388888888889,0.8871385263070186
2019,1487.375,0.4685172189928588
2020,1406.4930555555557,-5.437898609593706
